C1=CC(=CC=C1N)S(NC2=NN=C(C=C2)OC)(=O)=O
O=C1OC(=O)C2CCCCC12
CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
C1C[C@](C=CC1(C)OO)(C(C)=C)[H]
C(O)(=O)C=1N2[C@@]([C@@H](C2=O)NC(/C(=N\OC)/C3=CSC(=N3)N)=O)(SCC1C)[H]
C1=C(NC(NC=2C=CC=CC2)=S)C=CC=C1
C(CNC(NCCCC)=S)CC
[H]C(=O)CN1C(=O)C(=O)NN=C1S\C=C\C1=C(N2C(=O)[C@@H](NC(=O)C(=N/OC)\C3=CSC(N)=N3)[C@@]2([H])SC1)C(O)=O
C=1(C[N+]2(CCNC(C=3C(=C(C(=CC3)O)O)Cl)=O)CCCC2)CS[C@@]4([C@@H](C(N4C1C(O)=O)=O)NC(\C(\C5=CSC(=N5)N)=N/OC(C(O)=O)(C)C)=O)[H]
CC(=C)[C@H]1CC=C(C)C(=O)C1
OCC(O)COC(=O)CS
OC1=CC(OC(=O)C2=CC=CC=C2)=CC=C1
Oc1c(Cl)cc(Cl)cc1C(=O)Nc1ccc(Cl)c(Cl)c1
OOC1CCOP(=O)(N1)N(CCCl)CCCl
COc1cc(Cl)c(Nc2ccccc2CC(O)=O)c(Cl)c1O
OC(=O)Cc1ccccc1Nc1c(Cl)ccc(O)c1Cl
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C(O)=O
C[C@H](O)CO
[H][C@]12SCC(CSc3nc(=O)c(=O)[nH]n3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@@]12CCc3cc(ccc3[C@@]1(C)CCC[C@@]2(C)C(O)=O)C(C)C
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1(N)CCCCC1)C(O)=O
CN1c2ccccc2Sc2ccc(CC(O)=O)cc12
[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])[C@@H](O)C[C@@]1(C)[C@@]2([H])C[C@H]2OC(CCC)O[C@@]12C(=O)CO
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
[C@H]1(C(N2[C@@]1(SC([C@@H]2C(OC=3C=C(C=CC3)COC(C(C)C)=O)=O)(C)C)[H])=O)NC(=O)CC4=CC=CC=C4
NC(=O)N1c2ccccc2C=Cc2ccccc12
CC(C)(C)c1ccc(O)cc1
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C(O)=O
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O
[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O
[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)c1ccccc1)C(O)=O
[H][C@]12SCC(C[n+]3ccccc3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\c1csc(N)n1)C([O-])=O
[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=C/CC(O)=O)\c1csc(N)n1)C(O)=O
ClCCN(CCCl)P1(=O)NCCCO1
C=12N(C=NC1C(NC3CC3)=NC(=N2)N)[C@H]4C=C[C@H](C4)CO
C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O
[H][C@]12[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Nc1ccc(cc1)S(N)(=O)=O
[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\c1csc(N)n1)C(O)=O
C1(Cl)=CC=CC(=C1NC2=CC=CC=C2CC(=O)O)Cl
[C@@H]1(C[C@@H](C/C(/C1=C)=C/C=C\2/[C@]3([C@](CCC2)([C@](CC3)([C@@H](/C=C/[C@@H](O)C4CC4)C)[H])C)[H])O)O
Nc1ccc(N)cc1
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])c1ccccc1)C(O)=O
[H]C(OCC)=C1N=C(OC1=O)c1ccccc1
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
C\C=C\C(=O)C1C(C)=CCCC1(C)C
Sc1ncccn1
CC(=O)Nc1ccc(cc1)\N=N\c1cc(C)ccc1O
C\C1=C/CC\C(C)=C\[C@H](O)C2C(C1)OC(=O)C2=C
CC1NC(C(O)=O)C(C)(C)S1
O[C@@H](COc1ccc2occ(-c3ccccc3OS(O)(=O)=O)c(=O)c2c1O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O
CC12CC=CCC1C(=O)OC2=O
OC(=O)CNc1ccccc1
[H]C(=Cc1cc(OC)c(OC)c(OC)c1)C(O)=O
[H][C@]12CC(S\C=C\NC(C)=O)=C(N1C(=O)[C@]2([H])[C@H](C)O)C(O)=O
C=1(C=CC(=CC1)N)S(NC=2C=CC(=NN2)Cl)(=O)=O
CCN(CC)c1ccc(cc1)C(=C1C=CC(C=C1)=[N+](CC)CC)c1cc(O)c(cc1S(O)(=O)=O)S(O)(=O)=O
[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O
O=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1
CC1(C)N[C@@H](C(O)=O)C(C)(C)S1
[H][C@]12SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)c1ccccc1)c1ccccc1)C(O)=O
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])[C@@H](O)C[C@@]1(C)[C@@]2([H])CC[C@]1(O)C(=O)CSC(=O)C(C)(C)C
CC(=O)O[C@H]1\C=C(C)\CC\C=C(C)\CC2OC(=O)C(=C)C12
NS(=O)(=O)c1ccc(cc1)N=O
[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])c1ccc(O)cc1
COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1
CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc12
