Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C(=CC(=N4)C(F)F)C5CC5)SC2)C(=O)O
CC1=C(C(=NN1CC(C)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)C)C(=O)O)C)Cl
CC1=C(C(=NN1CC(=O)NC2C3N(C2=O)C(=C(CS3)CSC4=NN=C(S4)C)C(=O)O)C)Cl
CC1=NN(C=C1Cl)C(C)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC4=NN=NN4C)C(=O)O
CCOC(=O)c1ccc(N)cc1
COc1ccc(Cc2cnc(N)nc2N)cc1OC
[H][C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(O)=O)=C(COC(C)=O)CS[C@]12[H]
C=1(N2[C@](SCC1COC(N)=O)([C@@](C2=O)(NC(/C(=C\CC)/C=3N=C(SC3)N)=O)[H])[H])C(=O)O
N=1NC=C(N1)SCC2=C(N3[C@](SC2)([C@@](C3=O)(NC([C@H](N)C=4C=CC(=CC4)O)=O)[H])[H])C(=O)O
S(CC1=C(N2[C@](SC1)([C@@](C2=O)(NC(CN3C=C(C(C(=C3)Cl)=O)Cl)=O)[H])[H])C(=O)O)C=4SC(=NN4)C
C=1(C(=CC=C(C1)C(C(N[C@]2([C@@]3(N(C2=O)[C@](C(S3)(C)C)(C(O)=O)[H])[H])[H])=O)OC)Cl)Cl
Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1
C1(C[C@](CC=C1C)(C(C)=C)[H])OO
C(=C)C(C\C=C(\C(C)C)/OO)(C)O
C(=C)C(C\C=C\C(C)(C)OO)(C)O
C=1(N2[C@](SCC1COC(C)=O)([C@@H](C2=O)NC(CS/C(=N/C(C)C)/NC(C)C)=O)[H])C(=O)O
C=1(N2[C@](SCC1C[N+]=3N(C(=C(C3)NC(NCCN)=O)N)C)([C@@H](C2=O)NC(/C(/C4=NSC(=N4)N)=N\OC(C(=O)O)(C)C)=O)[H])C([O-])=O
C(O)(=O)C=1N2[C@@]([C@@H](C2=O)NC(CC#N)=O)(SCC1COC(C)=O)[H]
C(O)(=O)C=1N2[C@@]([C@@H](C2=O)NC(CN3C=NN=N3)=O)(SCC1CSC4=NN=CS4)[H]
C(O)(=O)C=1N2[C@@]([C@@H](C2=O)NC(/C(=N\OC)/C3=CSC(=N3)N)=O)(SCC1CN4N=C(N=N4)C)[H]
C=1(N2[C@](SCC1COC(N)=O)([C@@](C2=O)(NC(/C(/C=3OC=CC3)=N\OC)=O)[H])[H])C(OC(C)OC(=O)C(C)(C)OC)=O
N(C([C@](NC(=O)N1C(=O)C(=O)N(CC1)CC)([C@H](C)O)[H])=O)[C@@]2(OC)[C@@]3(N(C2=O)C(C(O)=O)=C(CS3)CSC=4N(C)N=NN4)[H]
C=1(N2[C@](SCC1/C=C/3\CCN(C3=O)[C@]4(CN(CC4)C(OCC=5OC(OC5C)=O)=O)[H])([C@@](C2=O)(NC(/C(/C6=NSC(=N6)N)=N\O)=O)[H])[H])C(O)=O
CCCCN=C=O
O=C=NC1CCCCC1
COc1ccc(CCN)cc1OC
[C@]12(N(C(=C(CS1)COC)C(=O)O)C([C@H]2NC(=O)/C(=N\O)/C3=CSC(=N3)N)=O)[H]
C=1(N2[C@](SCC1/C=C/3\CCN(C3=O)[C@]4(CNCC4)[H])([C@@](C2=O)(NC(/C(/C5=NSC(=N5)N)=N\O)=O)[H])[H])C(O)=O
[C@@H]1([C@H]([C@@H]([C@@H]([C@@H](O1)C)O)O)O)OCCCCN
